city,temp,humid,wind,clouds,lat,lng,maxtemp,country,local_date_time
saint-georges,78.8,83,17.27,20,12.0564,-61.7485,78.8,GD,2021-05-10 18:17:27
nouakchott,75.2,64,9.22,0,18.0858,-15.9785,75.2,MR,2021-05-10 22:17:27
bhatkal,84.33,76,1.5,100,13.9667,74.5667,84.33,IN,2021-05-11 03:47:27
adra,57.88,59,4.61,0,36.7496,-3.0206,61,ES,2021-05-11 00:17:27
jieshi,81.63,80,11.23,12,22.8134,115.8257,81.63,CN,2021-05-11 06:17:28
miri,87.4,70,5.75,20,4.4148,114.0089,87.8,MY,2021-05-11 06:13:16
tual,82.13,79,14.36,70,-5.6667,132.75,82.13,ID,2021-05-11 07:12:36
margate,47.25,77,1.01,24,51.3813,1.3862,48.99,GB,2021-05-10 23:13:20
wewak,79.81,82,1.48,100,-3.5534,143.6268,79.81,PG,2021-05-11 08:17:28
katangli,34.52,88,7.36,71,51.7102,143.2326,34.52,RU,2021-05-11 09:17:28
coihaique,37.4,87,5.75,0,-45.5752,-72.0662,37.4,CL,2021-05-10 18:17:28
muravlenko,48.9,61,12.55,20,63.7898,74.523,48.9,RU,2021-05-11 03:17:29
oktyabrskiy,59.18,60,0.65,80,54.4815,53.471,59.18,RU,2021-05-11 03:17:29
baoning,84.2,70,11.18,75,25.3378,110.026,84.2,CN,2021-05-11 06:17:29
antalaha,72.23,84,4.27,86,-14.9003,50.2788,72.23,MG,2021-05-11 01:13:21
saquarema,66.2,77,3.44,0,-22.92,-42.5103,66.2,BR,2021-05-10 19:17:29
kaliganj,86.79,66,7.52,14,23.4095,89.1402,86.79,BD,2021-05-11 04:17:30
yangcun,66.2,59,8.95,20,39.3639,117.0603,66.2,CN,2021-05-11 06:17:30
